State,County,Tract,Population,Black,Hispanic,Mail-In,CDBG Total,CDBG per person,Black or Hispanic (%)
Connecticut,Fairfield County,9001010101,4476,53,197,75.3,,0,5.6
Connecticut,Fairfield County,9001010102,4330,46,216,84,,0,6.1
Connecticut,Fairfield County,9001010201,3421,28,189,76.8,373580,109.2,6.3
Connecticut,Fairfield County,9001010202,5359,43,418,77.7,144900,27.0,8.6
Connecticut,Fairfield County,9001010300,4010,55,172,85.3,82600,20.6,5.7
Connecticut,Fairfield County,9001010400,5290,53,599,75.5,181542,34.3,12.3
Connecticut,Fairfield County,9001010500,5494,430,1173,72.9,418422.63,76.2,29.2
Connecticut,Fairfield County,9001010600,1845,63,235,75.7,1292159.96,700.4,16.2
Connecticut,Fairfield County,9001010700,3579,130,470,82.6,1433959.52,400.7,16.8
Connecticut,Fairfield County,9001010800,3388,37,218,77.5,114788,33.9,7.5
Connecticut,Fairfield County,9001010900,4870,126,443,81.1,303352.79,62.3,11.7
Connecticut,Fairfield County,9001011000,5263,44,246,82.2,29650,5.6,5.5
Connecticut,Fairfield County,9001011100,4894,19,304,85,140940,28.8,6.6
Connecticut,Fairfield County,9001011200,1733,17,116,75.2,128355.86,74.1,7.7
Connecticut,Fairfield County,9001011300,3219,88,968,75.3,,0,32.8
Connecticut,Fairfield County,9001020100,3523,820,739,74.7,7137044.16,2025.8,44.3
Connecticut,Fairfield County,9001020200,3687,107,157,81.8,,0,7.2
Connecticut,Fairfield County,9001020300,7263,237,338,82.9,99999.5,13.8,7.9
Connecticut,Fairfield County,9001020400,3586,109,228,83.2,184296.11,51.4,9.4
Connecticut,Fairfield County,9001020500,4896,133,247,81.7,,0,7.8
Connecticut,Fairfield County,9001020600,4952,241,605,78.8,318533,64.3,17.1
Connecticut,Fairfield County,9001020700,4352,92,232,84.8,50703,11.7,7.4
Connecticut,Fairfield County,9001020800,2939,87,217,81.9,,0,10.3
Connecticut,Fairfield County,9001020900,4906,405,813,74.7,,0,24.8
Connecticut,Fairfield County,9001021000,3499,233,453,75.1,15000,4.3,19.6
Connecticut,Fairfield County,9001021100,5976,520,1182,71.2,468583.86,78.4,28.5
Connecticut,Fairfield County,9001021200,4177,220,413,81.7,70540.5,16.9,15.2
Connecticut,Fairfield County,9001021300,4422,691,1159,79.8,102939,23.3,41.8
Connecticut,Fairfield County,9001021400,6690,2077,2991,68.5,622169.33,93.0,75.8
Connecticut,Fairfield County,9001021500,6303,2013,3372,63.2,3080933.32,488.8,85.4
Connecticut,Fairfield County,9001021600,7151,800,1141,72.2,1123144.46,157.1,27.1
Connecticut,Fairfield County,9001021700,7354,1173,1477,73,175000,23.8,36.0
Connecticut,Fairfield County,9001021801,4334,479,987,81.2,,0,33.8
Connecticut,Fairfield County,9001021802,5408,1283,1765,75.7,,0,56.4
Connecticut,Fairfield County,9001021900,5713,514,1735,69.8,,0,39.4
Connecticut,Fairfield County,9001022000,2959,582,996,67.5,,0,53.3
Connecticut,Fairfield County,9001022100,7213,1120,3555,67.2,203000,28.1,64.8
Connecticut,Fairfield County,9001022200,3186,584,2066,59.2,2290502.31,718.9,83.2
Connecticut,Fairfield County,9001022300,5763,1539,2202,68.4,88163.91,15.3,64.9
Connecticut,Fairfield County,9001022400,2391,47,118,82.5,,0,6.9
Connecticut,Fairfield County,9001030100,3502,16,105,81.7,,0,3.5
Connecticut,Fairfield County,9001030200,3442,9,112,83.2,,0,3.5
Connecticut,Fairfield County,9001030300,4156,7,138,84,40000,9.6,3.5
Connecticut,Fairfield County,9001030400,3958,34,187,82.2,,0,5.6
Connecticut,Fairfield County,9001030500,5674,32,201,82,,0,4.1
Connecticut,Fairfield County,9001035100,7406,131,304,78.7,500000,67.5,5.9
Connecticut,Fairfield County,9001035200,3316,18,67,83.2,,0,2.6
Connecticut,Fairfield County,9001035300,3937,17,84,85.1,50000,12.7,2.6
Connecticut,Fairfield County,9001035400,5079,28,115,84.2,,0,2.8
Connecticut,Fairfield County,9001042500,3719,130,191,84.1,172846.98,46.5,8.6
Connecticut,Fairfield County,9001042600,3911,215,415,82.4,306255,78.3,16.1
